idno,videoname,qnumber,response,correctness
028,friends3_fmri.mp4,9,4,correct
028,friends3_fmri.mp4,10,2,correct
028,friends3_fmri.mp4,11,1,incorrect
028,friends3_fmri.mp4,12,1,correct
