ParticipantID,WordIndex,ThemeWord,RT (s)
016,1,wedding,8.093016400001943
016,2,love,3.570124299963936
016,3,dress,3.769435599911958
016,4,party,5.821184500004165
016,5,bestman,3.9361075999913737
016,6,ring,1.8181149999145418
016,7,babyshower,2.534896199940704
016,8,breakup,16.512760899960995
016,9,pregnant,6.43012729997281
016,10,venue,12.326362299965695
