Time(s),VisualChange
0.0,-3.5762786865234375e-07
1.0,-3.5762786865234375e-07
2.0,0.6550237536430359
3.0,0.035697221755981445
4.0,0.019453048706054688
5.0,0.031631410121917725
6.0,0.15781378746032715
7.0,0.01024240255355835
8.0,0.010236024856567383
9.0,0.14140594005584717
10.0,0.00944441556930542
11.0,0.01379251480102539
12.0,0.135215163230896
13.0,0.012850046157836914
14.0,0.008780956268310547
15.0,0.14570367336273193
16.0,0.016745328903198242
17.0,0.01701056957244873
18.0,0.057042479515075684
19.0,0.03791236877441406
20.0,0.10118275880813599
21.0,0.0017915964126586914
22.0,0.09302514791488647
23.0,0.009436249732971191
24.0,0.019233226776123047
25.0,0.11111891269683838
26.0,0.010205388069152832
27.0,0.004036307334899902
28.0,0.09365689754486084
29.0,0.015468358993530273
30.0,0.043050169944763184
31.0,0.1701294183731079
32.0,0.01668649911880493
33.0,0.01151663064956665
34.0,0.011162638664245605
35.0,0.01428234577178955
36.0,0.01644158363342285
37.0,0.21024972200393677
38.0,0.023534178733825684
39.0,0.03207254409790039
40.0,0.03075230121612549
41.0,0.011704325675964355
42.0,0.10850316286087036
43.0,0.007330596446990967
44.0,0.10909336805343628
45.0,0.007342278957366943
46.0,0.015487372875213623
47.0,0.015864074230194092
48.0,0.3881324529647827
49.0,0.042372047901153564
50.0,0.07177472114562988
51.0,0.04831695556640625
52.0,0.07967448234558105
53.0,0.07979297637939453
54.0,0.28133100271224976
55.0,0.019284486770629883
56.0,0.017206847667694092
57.0,0.018131256103515625
58.0,0.0656365156173706
59.0,0.04919403791427612
60.0,0.03068089485168457
61.0,0.032454729080200195
62.0,0.015543222427368164
63.0,0.0208856463432312
64.0,0.25010961294174194
65.0,0.006957888603210449
66.0,0.012480735778808594
67.0,0.004329264163970947
68.0,0.006234228610992432
69.0,0.3483304977416992
70.0,0.008161783218383789
71.0,0.014593839645385742
72.0,0.018052995204925537
73.0,0.10274243354797363
74.0,0.014014780521392822
75.0,0.013823449611663818
76.0,0.01044619083404541
77.0,0.09059703350067139
78.0,0.03116631507873535
79.0,0.08522248268127441
80.0,0.0193709135055542
81.0,0.008230805397033691
82.0,0.0041762590408325195
83.0,0.006613612174987793
84.0,0.09017813205718994
85.0,0.008679389953613281
