VideoName,BoundaryTime(s),NumParticipants,p_point,p_fwer,q_value,Significant_FWER,Significant_FDR
friends1.mp4,50,4,0.024975024975024976,1.0,0.029777914393299007,False,True
friends1.mp4,100,7,0.000999000999000999,0.000999000999000999,0.007742257742257742,True,True
friends1.mp4,146,5,0.004995004995004995,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,206,5,0.003996003996003996,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,242,4,0.024975024975024976,1.0,0.029777914393299007,False,True
friends1.mp4,281,5,0.001998001998001998,0.9010989010989011,0.008848294562580277,False,True
friends1.mp4,293,4,0.028971028971028972,1.0,0.030969030969030968,False,True
friends1.mp4,305,4,0.022977022977022976,1.0,0.029678654678654676,False,True
friends1.mp4,332,6,0.001998001998001998,0.15184815184815184,0.008848294562580277,False,True
friends1.mp4,345,5,0.004995004995004995,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,377,6,0.000999000999000999,0.15184815184815184,0.007742257742257742,False,True
friends1.mp4,451,7,0.000999000999000999,0.000999000999000999,0.007742257742257742,True,True
friends1.mp4,501,5,0.006993006993006993,0.9010989010989011,0.012043512043512042,False,True
friends1.mp4,536,4,0.028971028971028972,1.0,0.030969030969030968,False,True
friends1.mp4,577,5,0.005994005994005994,0.9010989010989011,0.010930246224363872,False,True
friends1.mp4,611,4,0.02097902097902098,1.0,0.028276071754332627,False,True
friends1.mp4,621,5,0.002997002997002997,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,674,4,0.014985014985014986,1.0,0.024449234975550765,False,True
friends1.mp4,780,5,0.004995004995004995,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,833,5,0.004995004995004995,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,859,6,0.000999000999000999,0.15184815184815184,0.007742257742257742,False,True
friends1.mp4,894,6,0.001998001998001998,0.15184815184815184,0.008848294562580277,False,True
friends1.mp4,923,4,0.03796203796203796,1.0,0.03796203796203796,False,True
friends1.mp4,990,4,0.02097902097902098,1.0,0.028276071754332627,False,True
friends1.mp4,1016,4,0.01898101898101898,1.0,0.028276071754332627,False,True
friends1.mp4,1042,5,0.002997002997002997,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,1058,5,0.003996003996003996,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,1089,5,0.003996003996003996,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,1110,4,0.02097902097902098,1.0,0.028276071754332627,False,True
friends1.mp4,1156,4,0.026973026973026972,1.0,0.030969030969030968,False,True
friends1.mp4,1237,4,0.029970029970029972,1.0,0.03096903096903097,False,True
friends2.mp4,51,7,0.000999000999000999,0.001998001998001998,0.003596403596403597,True,True
friends2.mp4,97,4,0.016983016983016984,1.0,0.016983016983016984,False,True
friends2.mp4,181,6,0.000999000999000999,0.03796203796203796,0.003596403596403597,True,True
friends2.mp4,201,4,0.008991008991008992,1.0,0.012449089372166296,False,True
friends2.mp4,362,6,0.000999000999000999,0.03796203796203796,0.003596403596403597,True,True
friends2.mp4,434,7,0.000999000999000999,0.001998001998001998,0.003596403596403597,True,True
friends2.mp4,509,4,0.008991008991008992,1.0,0.012449089372166296,False,True
friends2.mp4,576,5,0.001998001998001998,0.5354645354645354,0.00513771942343371,False,True
friends2.mp4,601,4,0.01098901098901099,1.0,0.013186813186813189,False,True
friends2.mp4,638,5,0.001998001998001998,0.5354645354645354,0.00513771942343371,False,True
friends2.mp4,724,6,0.000999000999000999,0.03796203796203796,0.003596403596403597,True,True
friends2.mp4,865,5,0.002997002997002997,0.5354645354645354,0.006743256743256743,False,True
friends2.mp4,927,4,0.01098901098901099,1.0,0.013186813186813189,False,True
friends2.mp4,1009,4,0.014985014985014986,1.0,0.01685814185814186,False,True
friends2.mp4,1035,5,0.004995004995004995,0.5354645354645354,0.00899100899100899,False,True
friends2.mp4,1163,5,0.003996003996003996,0.5354645354645354,0.007992007992007992,False,True
friends2.mp4,1217,4,0.007992007992007992,1.0,0.012449089372166296,False,True
friends2.mp4,1298,4,0.015984015984015984,1.0,0.016924252218369868,False,True
friends3.mp4,19,6,0.000999000999000999,0.04495504495504495,0.002331002331002331,True,True
friends3.mp4,52,4,0.023976023976023976,1.0,0.02397602397602398,False,True
friends3.mp4,69,6,0.000999000999000999,0.04495504495504495,0.002331002331002331,True,True
friends3.mp4,116,4,0.012987012987012988,1.0,0.017045454545454548,False,True
friends3.mp4,130,5,0.000999000999000999,0.6463536463536463,0.002331002331002331,False,True
friends3.mp4,168,4,0.01898101898101898,1.0,0.01993006993006993,False,True
friends3.mp4,202,4,0.014985014985014986,1.0,0.017482517482517484,False,True
friends3.mp4,219,5,0.000999000999000999,0.6463536463536463,0.002331002331002331,False,True
friends3.mp4,233,7,0.000999000999000999,0.001998001998001998,0.002331002331002331,True,True
friends3.mp4,305,5,0.003996003996003996,0.6463536463536463,0.006455083378160301,False,True
friends3.mp4,400,4,0.011988011988011988,1.0,0.016783216783216783,False,True
friends3.mp4,433,7,0.000999000999000999,0.001998001998001998,0.002331002331002331,True,True
friends3.mp4,548,5,0.003996003996003996,0.6463536463536463,0.006455083378160301,False,True
friends3.mp4,619,5,0.001998001998001998,0.6463536463536463,0.004195804195804196,False,True
friends3.mp4,733,4,0.016983016983016984,1.0,0.0187707029812293,False,True
friends3.mp4,835,5,0.000999000999000999,0.6463536463536463,0.002331002331002331,False,True
friends3.mp4,854,5,0.002997002997002997,0.6463536463536463,0.005721551176096631,False,True
