VideoName,BoundaryTime(s),NumParticipants,p_point,p_fwer,q_value,Significant_FWER,Significant_FDR
friends1.mp4,50,4,0.024975024975024976,1.0,0.029777914393299007,False,True
friends1.mp4,100,7,0.000999000999000999,0.000999000999000999,0.007742257742257742,True,True
friends1.mp4,146,5,0.004995004995004995,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,206,5,0.003996003996003996,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,242,4,0.024975024975024976,1.0,0.029777914393299007,False,True
friends1.mp4,281,5,0.001998001998001998,0.9010989010989011,0.008848294562580277,False,True
friends1.mp4,293,4,0.028971028971028972,1.0,0.030969030969030968,False,True
friends1.mp4,305,4,0.022977022977022976,1.0,0.029678654678654676,False,True
friends1.mp4,332,6,0.001998001998001998,0.15184815184815184,0.008848294562580277,False,True
friends1.mp4,345,5,0.004995004995004995,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,377,6,0.000999000999000999,0.15184815184815184,0.007742257742257742,False,True
friends1.mp4,451,7,0.000999000999000999,0.000999000999000999,0.007742257742257742,True,True
friends1.mp4,501,5,0.006993006993006993,0.9010989010989011,0.012043512043512042,False,True
friends1.mp4,536,4,0.028971028971028972,1.0,0.030969030969030968,False,True
friends1.mp4,577,5,0.005994005994005994,0.9010989010989011,0.010930246224363872,False,True
friends1.mp4,611,4,0.02097902097902098,1.0,0.028276071754332627,False,True
friends1.mp4,621,5,0.002997002997002997,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,674,4,0.014985014985014986,1.0,0.024449234975550765,False,True
friends1.mp4,780,5,0.004995004995004995,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,833,5,0.004995004995004995,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,859,6,0.000999000999000999,0.15184815184815184,0.007742257742257742,False,True
friends1.mp4,894,6,0.001998001998001998,0.15184815184815184,0.008848294562580277,False,True
friends1.mp4,923,4,0.03796203796203796,1.0,0.03796203796203796,False,True
friends1.mp4,990,4,0.02097902097902098,1.0,0.028276071754332627,False,True
friends1.mp4,1016,4,0.01898101898101898,1.0,0.028276071754332627,False,True
friends1.mp4,1042,5,0.002997002997002997,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,1058,5,0.003996003996003996,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,1089,5,0.003996003996003996,0.9010989010989011,0.009677822177822178,False,True
friends1.mp4,1110,4,0.02097902097902098,1.0,0.028276071754332627,False,True
friends1.mp4,1156,4,0.026973026973026972,1.0,0.030969030969030968,False,True
friends1.mp4,1237,4,0.029970029970029972,1.0,0.03096903096903097,False,True
