video,event_index,within_value,across_value,difference,mid1,mid2,type
friends1,1,0.48987236618995667,0.23924165964126587,0.2506307065486908,12.0,38.0,fake_boundary
friends1,2,0.19859246909618378,0.18000152707099915,0.01859094202518463,63.0,87.0,fake_boundary
friends1,3,0.7499477863311768,0.5225810408592224,0.22736674547195435,102.0,108.0,fake_boundary
friends1,4,0.4662185311317444,0.9064382314682007,-0.4402197003364563,114.0,120.0,fake_boundary
friends1,5,0.41916629672050476,0.6297962665557861,-0.21062996983528137,129.0,140.0,fake_boundary
friends1,6,0.4715014398097992,0.482467383146286,-0.010965943336486816,161.0,191.0,fake_boundary
friends1,7,0.23325830698013306,0.25715020298957825,-0.02389189600944519,215.0,234.0,fake_boundary
friends1,8,0.24050059914588928,0.26532304286956787,-0.02482244372367859,253.0,272.0,fake_boundary
friends1,9,0.32238179445266724,0.09126099944114685,0.23112079501152039,288.0,300.0,fake_boundary
friends1,10,0.18206296861171722,0.19713035225868225,-0.015067383646965027,313.0,327.0,fake_boundary
friends1,11,0.39037734270095825,0.873392641544342,-0.4830152988433838,337.0,343.0,fake_boundary
friends1,12,0.3118281066417694,0.29080522060394287,0.021022886037826538,353.0,368.0,fake_boundary
friends1,13,0.24917137622833252,0.4163510799407959,-0.16717970371246338,394.0,431.0,fake_boundary
friends1,14,0.17724105715751648,0.12442698329687119,0.052814073860645294,462.0,488.0,fake_boundary
friends1,15,0.14828179776668549,0.0805201530456543,0.06776164472103119,510.0,528.0,fake_boundary
friends1,16,0.2130255252122879,0.20891638100147247,0.00410914421081543,547.0,567.0,fake_boundary
friends1,17,0.12019049376249313,0.2642793357372284,-0.14408884197473526,586.0,603.0,fake_boundary
friends1,18,0.7851816415786743,0.8044815063476562,-0.019299864768981934,614.0,619.0,fake_boundary
friends1,19,0.14386571943759918,0.07098934054374695,0.07287637889385223,661.0,741.0,fake_boundary
friends1,20,0.20885728299617767,0.2829248905181885,-0.0740676075220108,794.0,820.0,fake_boundary
friends1,21,0.23199613392353058,0.4507213532924652,-0.21872521936893463,840.0,854.0,fake_boundary
friends1,22,0.7307499647140503,0.15587541460990906,0.5748745501041412,869.0,885.0,fake_boundary
friends1,23,0.1722715049982071,0.29578930139541626,-0.12351779639720917,901.0,916.0,fake_boundary
friends1,24,0.24213926494121552,0.3179844319820404,-0.07584516704082489,940.0,974.0,fake_boundary
friends1,25,0.15239980816841125,0.11289822310209274,0.03950158506631851,1003.0,1029.0,fake_boundary
friends1,26,0.7032618522644043,0.5843503475189209,0.1189115047454834,1046.0,1054.0,fake_boundary
friends1,27,0.04737228900194168,0.4800311326980591,-0.4326588436961174,1067.0,1083.0,fake_boundary
friends1,28,-0.03204028308391571,,,1130.0,1208.0,fake_boundary
