Time(s),VisualChange
0.0,0.19304203987121582
1.0,0.0452997088432312
2.0,0.056057095527648926
3.0,0.17679959535598755
4.0,0.025271296501159668
5.0,0.0355229377746582
6.0,0.07010233402252197
7.0,0.07106256484985352
8.0,0.07332605123519897
9.0,0.08846831321716309
10.0,0.12580597400665283
11.0,0.028281688690185547
12.0,0.04365891218185425
13.0,0.04881054162979126
14.0,0.05490982532501221
15.0,0.0489618182182312
16.0,0.06652534008026123
17.0,0.05104273557662964
18.0,0.2912968397140503
19.0,0.006184577941894531
20.0,0.1334095001220703
21.0,0.20100027322769165
22.0,0.05244886875152588
23.0,0.053764164447784424
24.0,0.016270160675048828
25.0,0.21132993698120117
26.0,0.02216172218322754
27.0,0.1256488561630249
28.0,0.07559359073638916
29.0,0.0708458423614502
30.0,0.20651459693908691
31.0,0.09553468227386475
32.0,0.12363725900650024
33.0,0.10823690891265869
34.0,0.12913453578948975
35.0,0.050100088119506836
36.0,0.028211593627929688
37.0,0.049610137939453125
38.0,0.10313570499420166
39.0,0.0794517993927002
40.0,0.07831144332885742
41.0,0.06971657276153564
42.0,0.045296549797058105
43.0,0.02514868974685669
44.0,0.02276146411895752
45.0,0.029544413089752197
46.0,0.08703672885894775
47.0,0.05103254318237305
48.0,0.041455626487731934
49.0,0.04513359069824219
50.0,0.02314305305480957
51.0,0.026263177394866943
52.0,0.014699220657348633
53.0,0.021172165870666504
54.0,0.02840566635131836
55.0,0.040311992168426514
56.0,0.18022096157073975
57.0,0.09946036338806152
58.0,0.05370205640792847
59.0,0.05290025472640991
60.0,0.058996498584747314
61.0,0.03613686561584473
62.0,0.036490559577941895
63.0,0.02176433801651001
64.0,0.036026597023010254
65.0,0.03196096420288086
66.0,0.049791157245635986
67.0,0.14039111137390137
68.0,0.07181286811828613
69.0,0.20878976583480835
70.0,0.10836285352706909
71.0,0.02793574333190918
72.0,0.03569352626800537
73.0,0.042657673358917236
74.0,0.07664358615875244
75.0,0.008442521095275879
76.0,0.005608677864074707
77.0,0.008643031120300293
78.0,0.03966939449310303
79.0,0.03594541549682617
80.0,0.017796874046325684
81.0,0.06253933906555176
82.0,0.012887120246887207
83.0,0.004373490810394287
84.0,0.05332136154174805
85.0,0.019634366035461426
86.0,0.01867377758026123
87.0,0.017619431018829346
88.0,0.05087447166442871
89.0,0.017670273780822754
90.0,0.006164073944091797
91.0,0.017217814922332764
92.0,0.009815692901611328
93.0,0.01534116268157959
94.0,0.2825300693511963
95.0,0.036787331104278564
96.0,0.030978500843048096
97.0,0.25589287281036377
98.0,0.04319429397583008
99.0,0.020076990127563477
100.0,0.14952683448791504
101.0,0.007734060287475586
102.0,0.1817724108695984
103.0,0.01739954948425293
104.0,0.013159513473510742
105.0,0.16211068630218506
106.0,0.18360257148742676
107.0,0.014026403427124023
108.0,0.013002872467041016
109.0,0.01713460683822632
110.0,0.17443782091140747
111.0,0.005573868751525879
112.0,0.012801527976989746
113.0,0.010235786437988281
114.0,0.01307535171508789
115.0,0.019895315170288086
116.0,0.13466191291809082
117.0,0.029676854610443115
118.0,0.13306260108947754
119.0,0.124076247215271
120.0,0.01728910207748413
121.0,0.14714258909225464
122.0,0.004990041255950928
123.0,0.16837787628173828
124.0,0.044150471687316895
125.0,0.009349226951599121
126.0,0.006798446178436279
127.0,0.1730758547782898
128.0,0.009476423263549805
129.0,0.007976770401000977
130.0,0.1740274429321289
131.0,0.0025877952575683594
132.0,0.12395906448364258
133.0,0.008671879768371582
134.0,0.134624183177948
135.0,0.12224292755126953
136.0,0.0068320631980896
137.0,0.0052037835121154785
138.0,0.06505131721496582
139.0,0.07695293426513672
140.0,0.1564338207244873
141.0,0.04192650318145752
142.0,0.026044607162475586
143.0,0.01275181770324707
144.0,0.01863640546798706
145.0,0.15319985151290894
146.0,0.009013652801513672
147.0,0.16169393062591553
148.0,0.031215548515319824
149.0,0.023968636989593506
150.0,0.019624292850494385
151.0,0.04117584228515625
152.0,0.11540675163269043
153.0,0.034488677978515625
154.0,0.06779932975769043
155.0,0.10058891773223877
156.0,0.09498316049575806
157.0,0.07322120666503906
158.0,0.173306405544281
159.0,0.021412253379821777
160.0,0.016975045204162598
161.0,0.010955572128295898
162.0,0.17360031604766846
163.0,0.03267115354537964
164.0,0.04529541730880737
165.0,0.009815216064453125
166.0,0.0061005353927612305
167.0,0.02080535888671875
168.0,0.09603822231292725
169.0,0.04715079069137573
170.0,0.024877607822418213
171.0,0.04612386226654053
172.0,0.06544137001037598
173.0,0.017086505889892578
174.0,0.014097094535827637
175.0,0.08243072032928467
176.0,0.06507647037506104
177.0,0.02844095230102539
178.0,0.020203053951263428
179.0,0.16556143760681152
180.0,0.06056123971939087
181.0,0.09974181652069092
182.0,0.06218695640563965
183.0,0.27775752544403076
184.0,0.02474844455718994
185.0,0.015551328659057617
186.0,0.22014939785003662
187.0,0.06528979539871216
188.0,0.23196542263031006
189.0,0.026612699031829834
190.0,0.1865905523300171
191.0,0.07358682155609131
192.0,0.10193973779678345
193.0,0.10258948802947998
194.0,0.056098103523254395
195.0,0.00678706169128418
196.0,0.0782696008682251
197.0,0.008769989013671875
198.0,0.10335004329681396
199.0,0.04865121841430664
200.0,0.04813683032989502
201.0,0.09760391712188721
202.0,0.25904250144958496
203.0,0.04290086030960083
204.0,0.015736103057861328
205.0,0.2610142230987549
206.0,0.030906617641448975
207.0,0.031119942665100098
208.0,0.027933239936828613
209.0,0.017299175262451172
210.0,0.01422739028930664
211.0,0.1167675256729126
212.0,0.008515238761901855
213.0,0.013286471366882324
214.0,0.02740335464477539
215.0,0.017173945903778076
216.0,0.05849289894104004
217.0,0.056789517402648926
218.0,0.023712515830993652
219.0,0.1792026162147522
220.0,0.03646618127822876
221.0,0.04584687948226929
222.0,0.38506925106048584
223.0,0.0051081180572509766
224.0,0.00965946912765503
225.0,0.3975539207458496
226.0,0.02345949411392212
227.0,0.02359914779663086
228.0,0.01348799467086792
229.0,0.023178935050964355
230.0,0.19319862127304077
231.0,0.03465473651885986
232.0,0.03014141321182251
233.0,0.039691925048828125
234.0,0.023102283477783203
235.0,0.21021831035614014
236.0,0.025019168853759766
237.0,0.03372550010681152
238.0,0.1820293664932251
239.0,0.02261805534362793
240.0,0.02173638343811035
241.0,0.02152317762374878
242.0,0.029406070709228516
243.0,0.02168881893157959
244.0,0.016277432441711426
245.0,0.07076972723007202
246.0,0.025694608688354492
247.0,0.025082767009735107
248.0,0.016048431396484375
249.0,0.025391459465026855
250.0,0.1232757568359375
251.0,0.20031476020812988
252.0,0.2844996452331543
253.0,0.22392916679382324
254.0,0.22238808870315552
255.0,0.023408055305480957
256.0,0.02704799175262451
257.0,0.0279005765914917
258.0,0.03733956813812256
259.0,0.022246122360229492
260.0,0.029721617698669434
261.0,0.05058032274246216
262.0,0.024269521236419678
263.0,0.03182566165924072
264.0,0.07612448930740356
265.0,0.04971832036972046
266.0,0.06375598907470703
267.0,0.12367033958435059
268.0,0.15221595764160156
269.0,0.04438579082489014
270.0,0.06210124492645264
271.0,0.05588340759277344
272.0,0.04295933246612549
273.0,0.06214827299118042
274.0,0.17643439769744873
275.0,0.013928532600402832
276.0,0.01037585735321045
277.0,0.008359551429748535
278.0,0.007193207740783691
279.0,0.008610546588897705
280.0,0.2505807876586914
281.0,0.23993873596191406
282.0,0.14796996116638184
283.0,0.06978082656860352
284.0,0.060019850730895996
285.0,0.03427612781524658
286.0,0.23542267084121704
287.0,0.0066068172454833984
288.0,0.005949497222900391
289.0,0.30562305450439453
290.0,0.18961066007614136
291.0,0.12335050106048584
292.0,0.0642927885055542
293.0,0.04119908809661865
294.0,0.02529430389404297
295.0,0.020211517810821533
296.0,0.021788060665130615
297.0,0.036078810691833496
298.0,0.020641088485717773
299.0,0.018000006675720215
300.0,0.0370173454284668
301.0,0.04984426498413086
302.0,0.024303078651428223
303.0,0.04524707794189453
304.0,0.057781338691711426
305.0,0.3360738754272461
306.0,0.027119040489196777
307.0,0.025215506553649902
308.0,0.013410866260528564
309.0,0.03813910484313965
