VideoName,BoundaryTime(s),NumParticipants,p_point,p_fwer,q_value,Significant_FWER,Significant_FDR
friends3.mp4,19,6,0.000999000999000999,0.04495504495504495,0.002331002331002331,True,True
friends3.mp4,52,4,0.023976023976023976,1.0,0.02397602397602398,False,True
friends3.mp4,69,6,0.000999000999000999,0.04495504495504495,0.002331002331002331,True,True
friends3.mp4,116,4,0.012987012987012988,1.0,0.017045454545454548,False,True
friends3.mp4,130,5,0.000999000999000999,0.6463536463536463,0.002331002331002331,False,True
friends3.mp4,168,4,0.01898101898101898,1.0,0.01993006993006993,False,True
friends3.mp4,202,4,0.014985014985014986,1.0,0.017482517482517484,False,True
friends3.mp4,219,5,0.000999000999000999,0.6463536463536463,0.002331002331002331,False,True
friends3.mp4,233,7,0.000999000999000999,0.001998001998001998,0.002331002331002331,True,True
friends3.mp4,305,5,0.003996003996003996,0.6463536463536463,0.006455083378160301,False,True
friends3.mp4,400,4,0.011988011988011988,1.0,0.016783216783216783,False,True
friends3.mp4,433,7,0.000999000999000999,0.001998001998001998,0.002331002331002331,True,True
friends3.mp4,548,5,0.003996003996003996,0.6463536463536463,0.006455083378160301,False,True
friends3.mp4,619,5,0.001998001998001998,0.6463536463536463,0.004195804195804196,False,True
friends3.mp4,733,4,0.016983016983016984,1.0,0.0187707029812293,False,True
friends3.mp4,835,5,0.000999000999000999,0.6463536463536463,0.002331002331002331,False,True
friends3.mp4,854,5,0.002997002997002997,0.6463536463536463,0.005721551176096631,False,True
friends3.mp4,1064,4,0.013986013986013986,1.0,0.01727684080625257,False,True
friends3.mp4,1165,6,0.000999000999000999,0.04495504495504495,0.002331002331002331,True,True
friends3.mp4,1219,5,0.000999000999000999,0.6463536463536463,0.002331002331002331,False,True
friends3.mp4,1288,4,0.01098901098901099,1.0,0.016483516483516484,False,True
