Time(s),VisualChange
0.0,1.1920928955078125e-07
1.0,1.1920928955078125e-07
2.0,0.9589729644358158
3.0,0.07277828454971313
4.0,0.6293046176433563
5.0,0.05684494972229004
6.0,0.06267833709716797
7.0,0.0672386884689331
8.0,0.04765278100967407
9.0,0.10751676559448242
10.0,0.4551243782043457
11.0,0.7204853296279907
12.0,0.09560883045196533
13.0,0.18241393566131592
14.0,0.10525262355804443
15.0,0.043167948722839355
16.0,0.09255373477935791
17.0,0.5208855867385864
18.0,0.0738300085067749
19.0,0.07884204387664795
20.0,0.10772877931594849
21.0,0.12602055072784424
22.0,0.10722172260284424
23.0,0.13429796695709229
24.0,0.43829524517059326
25.0,0.08453917503356934
26.0,0.10465717315673828
27.0,0.16882741451263428
28.0,0.24114078283309937
29.0,0.12829703092575073
30.0,0.06687664985656738
31.0,0.17220640182495117
32.0,0.010586917400360107
33.0,0.7015335857868195
34.0,0.050946593284606934
35.0,0.0400543212890625
36.0,0.045812368392944336
37.0,0.030284643173217773
38.0,0.02882564067840576
39.0,0.023295044898986816
40.0,0.6058513224124908
41.0,0.10539144277572632
42.0,0.11376577615737915
43.0,0.10710769891738892
44.0,0.10257786512374878
45.0,0.14991962909698486
46.0,0.5763040482997894
47.0,0.6390525698661804
48.0,0.11575782299041748
49.0,0.5719903707504272
50.0,0.4925340414047241
51.0,0.09885251522064209
52.0,0.09763944149017334
53.0,0.0977712869644165
54.0,0.5644883513450623
55.0,0.6686228811740875
56.0,0.2101617455482483
57.0,0.2539033889770508
58.0,0.39606499671936035
59.0,0.21964293718338013
60.0,0.23890578746795654
61.0,0.055436670780181885
62.0,0.41688913106918335
63.0,0.06272149085998535
64.0,0.43177300691604614
65.0,0.01619553565979004
66.0,0.1541995406150818
67.0,0.3945057988166809
68.0,0.20890742540359497
69.0,0.7577076107263565
70.0,0.12755274772644043
71.0,0.5833826065063477
72.0,0.2918408513069153
73.0,0.18294954299926758
74.0,0.6893953382968903
75.0,0.6236113905906677
76.0,0.5418193936347961
77.0,0.5596572160720825
78.0,0.13407117128372192
79.0,0.5606887936592102
80.0,0.39125531911849976
81.0,0.6162083148956299
82.0,0.39722585678100586
83.0,0.408998966217041
84.0,0.19294285774230957
85.0,0.5158334076404572
86.0,0.5219595432281494
87.0,0.6544191837310791
88.0,0.6503074765205383
89.0,0.34098494052886963
90.0,0.6363782286643982
91.0,0.6747074723243713
92.0,0.5305205881595612
93.0,0.6280202865600586
94.0,0.6279082894325256
95.0,0.4059690237045288
96.0,0.5318699777126312
97.0,0.5412682294845581
98.0,0.47818994522094727
99.0,0.2048187255859375
100.0,0.4498036503791809
101.0,0.5814679861068726
102.0,0.3910146951675415
103.0,0.46868038177490234
104.0,0.29745036363601685
105.0,0.6126383543014526
106.0,0.3422964811325073
107.0,0.4104747176170349
108.0,0.4567127823829651
109.0,0.4462003707885742
110.0,0.5134345293045044
111.0,0.7125317454338074
112.0,0.1025470495223999
113.0,0.5421893000602722
114.0,0.5820886492729187
115.0,-2.384185791015625e-07
116.0,-2.384185791015625e-07
117.0,0.9707738943397999
118.0,0.2519627809524536
119.0,0.03759920597076416
120.0,0.22672253847122192
121.0,0.5878239572048187
122.0,0.21225261688232422
123.0,0.6368017196655273
124.0,0.07555317878723145
125.0,0.06401199102401733
126.0,0.6307327449321747
127.0,0.1388494372367859
128.0,0.09892702102661133
129.0,0.6605076789855957
130.0,0.7778002023696899
131.0,0.4053804874420166
132.0,0.34524470567703247
133.0,0.23140078783035278
134.0,0.3860018253326416
135.0,0.17611682415008545
136.0,0.4485383629798889
137.0,0.21940219402313232
138.0,0.4315716624259949
139.0,0.03454124927520752
140.0,0.1746387481689453
141.0,0.05883753299713135
142.0,0.18913555145263672
143.0,0.36009669303894043
144.0,0.45329010486602783
145.0,0.04529261589050293
146.0,0.04186713695526123
147.0,0.06636631488800049
148.0,0.07529854774475098
149.0,0.047107815742492676
150.0,0.5117078125476837
151.0,0.45679014921188354
152.0,0.0863422155380249
153.0,0.07045364379882812
154.0,0.39874231815338135
155.0,0.3838365077972412
156.0,0.44110536575317383
157.0,0.37592291831970215
158.0,0.18436014652252197
159.0,0.5137293338775635
160.0,0.5102709233760834
161.0,0.1518014669418335
162.0,0.072795569896698
163.0,0.40533447265625
164.0,0.2693718671798706
165.0,0.2595146894454956
166.0,0.413208544254303
167.0,0.5329346358776093
168.0,0.5008609890937805
169.0,0.5998327136039734
170.0,0.5990805625915527
171.0,0.24414575099945068
172.0,0.5153248906135559
173.0,0.476651668548584
174.0,0.07335543632507324
175.0,0.2555527687072754
176.0,0.1935921311378479
177.0,0.203416109085083
178.0,0.1938796043395996
179.0,0.06250905990600586
180.0,0.4499450922012329
181.0,0.051806628704071045
182.0,0.0514218807220459
183.0,0.34939664602279663
184.0,0.08443987369537354
185.0,0.4031623601913452
186.0,0.06049847602844238
187.0,0.32968056201934814
188.0,0.02951747179031372
189.0,0.03251791000366211
190.0,0.3260951042175293
191.0,0.036026716232299805
192.0,0.29012203216552734
193.0,0.541698545217514
194.0,0.1189424991607666
195.0,0.6011714339256287
196.0,0.05605816841125488
197.0,0.4168880581855774
198.0,0.1049872636795044
199.0,0.07357251644134521
200.0,0.05200791358947754
201.0,0.29850512742996216
202.0,0.3570101261138916
203.0,0.6853387355804443
204.0,0.37355244159698486
205.0,0.28122270107269287
206.0,0.401728093624115
207.0,0.5090885162353516
208.0,0.07611006498336792
209.0,0.12884628772735596
210.0,0.07507658004760742
211.0,0.09825414419174194
212.0,0.58403280377388
213.0,0.22108745574951172
214.0,0.30347275733947754
215.0,0.4131591320037842
216.0,0.5200572311878204
217.0,0.13279396295547485
218.0,0.21674907207489014
219.0,0.42353522777557373
220.0,0.47611308097839355
